Discovery_Type,Label,Warehouse_Source,Volume,Unique_Buyers,Countries,Recent_12m_Share_Pct,Lean_Fit,Open_World_Score
TITLE_TERM,human,MULTI,462,223,36,38.095238095238095,33.64334085778781,90.43917287014061
TITLE_TERM,traffic,MULTI,630,269,34,43.80952380952381,27.176190476190477,90.42491315136476
TITLE_TERM,joint,MULTI,384,162,29,46.09375,28.63368983957219,90.41334987593052
TITLE_TERM,remote,MULTI,374,210,33,38.23529411764706,35.56983240223464,90.41182795698926
TITLE_TERM,resilience,MULTI,357,214,23,45.65826330532213,28.564179104477613,90.40057899090156
TITLE_TERM,imaging,MULTI,868,265,38,50.345622119815665,25.08533653846154,90.38458229942101
TITLE_TERM,review,MULTI,929,485,25,48.22389666307858,24.96637744034707,90.3791894127378
TITLE_TERM,handling,MULTI,596,278,27,50.83892617449664,25.598260869565216,90.36969396195202
TITLE_TERM,wide,MULTI,288,199,29,42.708333333333336,31.97508896797153,90.36767576509511
TITLE_TERM,edition,MULTI,660,347,26,31.96969696969697,64.98507462686567,90.36117452440034
CATEGORY_COHORT,Automation / software :: IT services / software,United Kingdom,1784,790,1,23.766816143497756,60.0,90.35499999999999
TITLE_TERM,natura,MULTI,675,185,33,36.592592592592595,35.146268656716416,90.34315963606286
TITLE_TERM,model,MULTI,611,303,42,41.243862520458265,28.061855670103093,90.33912324234905
TITLE_TERM,resources,MULTI,554,250,26,35.1985559566787,38.45810055865922,90.28306038047972
TITLE_TERM,designer,MULTI,256,176,18,45.3125,30.88888888888889,90.26588916459883
TITLE_TERM,weiterentwicklung,MULTI,1012,337,5,36.462450592885375,48.00494071146245,90.26572373862696
TITLE_TERM,uvre,MULTI,4086,2118,18,40.94468918257464,25.692584963954687,90.23684036393715
TITLE_TERM,voice,MULTI,247,147,20,43.7246963562753,33.916666666666664,90.23212572373863
TITLE_TERM,response,MULTI,642,334,37,35.046728971962615,35.0,90.18736145574856
TITLE_TERM,vmware,MULTI,1142,401,48,30.472854640980735,58.5663082437276,90.17763440860216
TITLE_TERM,vrijwillige,MULTI,931,265,2,37.70139634801289,42.22246220302376,90.16251447477254
TITLE_TERM,operational,MULTI,687,252,39,38.57350800582242,29.67551622418879,90.13556658395368
TITLE_TERM,infrastructure,MULTI,2712,1467,61,32.78023598820059,32.862776659959756,90.12813895781639
TITLE_TERM,professional,MULTI,1347,596,32,43.504083147735706,25.215892053973015,90.12287841191068
TITLE_TERM,cluster,MULTI,2159,324,28,34.27512737378416,32.328117591275486,90.11617866004963
TITLE_TERM,time,MULTI,729,263,42,35.80246913580247,32.527065527065524,90.10531017369729
TITLE_TERM,siem,MULTI,341,154,34,35.19061583577712,58.26392961876833,90.09255583126551
TITLE_TERM,risk,MULTI,1541,614,34,43.153796236210255,25.178217821782177,90.08395368072787
TITLE_TERM,patient,MULTI,1023,380,23,36.168132942326494,30.155,90.08279569892473
TITLE_TERM,affaires,MULTI,631,252,7,34.7068145800317,41.66779089376054,90.07273779983458
TITLE_TERM,quality,MULTI,788,359,37,39.08629441624365,28.28238341968912,90.05900744416874
TITLE_TERM,competition,MULTI,1256,231,20,34.63375796178344,33.61129032258064,90.02971050454923
TITLE_TERM,automatische,MULTI,204,120,6,40.19607843137255,74.0,90.01778329197685
TITLE_TERM,mapping,MULTI,392,185,27,38.01020408163265,34.3984375,90.01065343258892
TITLE_TERM,detection,MULTI,1604,983,40,33.915211970074814,31.173522812266267,89.98339123242349
TITLE_TERM,expansion,MULTI,400,205,33,42.5,28.797953964194374,89.96926385442515
TITLE_TERM,live,MULTI,413,185,33,39.70944309927361,30.844559585492227,89.93971877584781
TITLE_TERM,payroll,MULTI,413,307,19,36.803874092009686,33.96938775510204,89.93110008271299
TITLE_TERM,electronic,MULTI,791,354,47,33.24905183312263,39.08461538461538,89.91966914805624
TITLE_TERM,studie,MULTI,807,211,9,33.45724907063197,57.80608365019011,89.91735318444996
TITLE_TERM,contact,MULTI,683,349,29,35.72474377745242,31.624620060790274,89.90870140612077
TITLE_TERM,plant,MULTI,1074,453,48,39.85102420856611,26.78388625592417,89.90772539288669
TITLE_TERM,azure,MULTI,369,183,32,33.87533875338753,64.36414565826331,89.90602150537634
TITLE_TERM,document,MULTI,302,228,31,36.09271523178808,42.55749128919861,89.89991728701406
TITLE_TERM,strategy,MULTI,653,355,28,45.176110260336905,25.842105263157894,89.89660876757652
TITLE_TERM,firewall,MULTI,819,282,39,32.967032967032964,39.82793017456359,89.89584780810588
TITLE_TERM,level,MULTI,954,409,46,44.129979035639415,25.31871657754011,89.87968569065343
TITLE_TERM,einfuhrung,MULTI,1049,394,7,32.316491897044806,58.09702209414025,89.87161290322581
TITLE_TERM,hard,MULTI,444,223,23,34.909909909909906,40.03703703703704,89.8578329197684
TITLE_TERM,workspace,MULTI,198,89,19,41.41414141414141,50.833333333333336,89.85732009925559
TITLE_TERM,dienstleistungskonzession,MULTI,772,295,3,38.082901554404145,39.1619170984456,89.82491315136477
TITLE_TERM,vernieuwen,MULTI,929,351,2,37.78256189451022,37.515151515151516,89.819735318445
TITLE_TERM,discovery,MULTI,203,107,20,45.320197044334975,35.39795918367347,89.81722084367246
TITLE_TERM,source,MULTI,721,422,28,37.309292649098474,29.02212389380531,89.81111662531018
TITLE_TERM,environment,MULTI,482,210,37,36.09958506224066,35.2655601659751,89.81045492142266
CATEGORY_COHORT,Monitoring / research :: Monitoring / analysis,Ireland,227,92,1,27.75330396475771,70.0,89.79833333333332
TITLE_TERM,center,MULTI,2031,590,58,32.20088626292467,34.1250654107797,89.7836393713813
TITLE_TERM,dynamics,MULTI,320,153,33,34.6875,60.01960784313726,89.78180314309347
TITLE_TERM,locale,MULTI,921,307,10,37.56786102062975,29.951631046119235,89.77960297766751
TITLE_TERM,demand,MULTI,310,166,18,39.67741935483871,33.527868852459015,89.77789909015715
TITLE_TERM,tools,MULTI,686,369,33,34.69387755102041,33.24246987951807,89.76454921422663
TITLE_TERM,compliance,MULTI,467,305,27,39.82869379014989,28.92888888888889,89.72598842018196
TITLE_TERM,engineering,MULTI,2024,734,47,34.53557312252964,29.608053007135577,89.72403639371382
TITLE_TERM,verlangerung,MULTI,1701,315,6,35.390946502057616,42.57965902410347,89.72082712985939
TITLE_TERM,border,MULTI,243,69,35,46.50205761316872,35.43621399176955,89.6839205955335
TITLE_TERM,juridische,MULTI,248,173,2,45.564516129032256,43.13846153846154,89.68173697270471
TITLE_TERM,learning,MULTI,1622,784,31,36.80641183723798,27.34873417721519,89.65144747725392
TITLE_TERM,standard,MULTI,1007,403,38,33.06852035749752,34.82586558044807,89.6390405293631
TITLE_TERM,veeam,MULTI,320,110,25,35.3125,62.53674121405751,89.59331679073615
TITLE_TERM,foundation,MULTI,565,219,26,44.24778761061947,26.446017699115043,89.58428453267163
TITLE_PATTERN,microsoft lizenzen,Germany,22,14,1,36.36363636363637,60.0,89.56904838192887
TITLE_TERM,arcgis,MULTI,267,112,36,35.95505617977528,63.73929961089494,89.56842018196856
TITLE_TERM,cybersecurity,MULTI,157,81,19,46.496815286624205,44.833333333333336,89.55740281224152
TITLE_TERM,warehouse,MULTI,205,92,25,44.8780487804878,36.15609756097561,89.54789081885858
TITLE_TERM,relation,MULTI,474,298,17,35.232067510548525,34.349036402569595,89.53073614557485
TITLE_TERM,communication,MULTI,2753,1598,95,27.351979658554303,75.48667711598746,89.52736145574855
TITLE_TERM,reference,MULTI,358,216,29,41.06145251396648,29.279761904761905,89.51308519437552
TITLE_TERM,tests,MULTI,700,364,29,36.857142857142854,29.507763975155278,89.51129859387925
TITLE_TERM,expert,MULTI,1148,513,31,33.362369337979096,31.483505154639175,89.49634408602151
TITLE_TERM,science,MULTI,744,293,37,37.23118279569893,28.767857142857142,89.47760132340778
CATEGORY_COHORT,Monitoring / research :: Monitoring / analysis,Quebec,3678,684,1,21.0984230560087,70.0,89.46333333333334
TITLE_TERM,warme,MULTI,657,350,6,34.855403348554034,34.57962962962963,89.44077750206782
TITLE_TERM,schema,MULTI,1502,1025,10,30.02663115845539,49.818568391211905,89.42954507857735
TITLE_TERM,alarm,MULTI,636,327,18,47.16981132075472,25.046178343949045,89.40966087675764
TITLE_TERM,change,MULTI,567,321,31,38.80070546737213,28.016544117647058,89.40383788254758
TITLE_TERM,elections,MULTI,151,98,7,52.317880794701985,38.788079470198674,89.35374689826301
TITLE_TERM,customer,MULTI,486,283,26,33.1275720164609,41.806451612903224,89.35260545905707
TITLE_TERM,desk,MULTI,295,175,35,35.59322033898305,42.701438848920866,89.35047146401985
TITLE_TERM,google,MULTI,172,94,25,40.69767441860465,58.63522012578616,89.3170223325062
TITLE_TERM,analyst,MULTI,300,112,14,38.666666666666664,36.654761904761905,89.2943258891646
TITLE_TERM,impact,MULTI,989,525,39,32.153690596562186,34.446878422782035,89.28185277088502
TITLE_PATTERN,zaaksysteem,TenderNed,18,18,1,38.88888888888889,60.0,89.27314963152836
TITLE_TERM,centrum,MULTI,5812,546,13,37.59463179628355,26.822710622710623,89.27048800661703
TITLE_PATTERN,beschaffung von microsoft lizenzen,Germany,20,5,1,65.0,60.0,89.26690163409162
TITLE_TERM,base,MULTI,3413,1004,31,35.33548198066217,27.247592420006214,89.26529363110009
TITLE_TERM,master,MULTI,367,172,30,40.87193460490463,28.883040935672515,89.2018693134822
TITLE_TERM,esri,MULTI,234,111,37,36.324786324786324,62.54625550660793,89.19239040529362
TITLE_TERM,aankoop,MULTI,5236,826,2,34.950343773873186,34.63157894736842,89.18564102564102
TITLE_TERM,installatie,MULTI,1480,464,2,36.41891891891892,33.79234972677595,89.16129032258064
TITLE_TERM,third,MULTI,250,134,30,46.8,28.76954732510288,89.15996691480564
TITLE_TERM,water,MULTI,2943,952,74,41.45429833503228,24.410043352601157,89.15740281224151
TITLE_TERM,plattform,MULTI,657,214,8,34.70319634703196,69.38812785388127,89.15146401985112
TITLE_TERM,european,MULTI,545,180,94,35.596330275229356,32.58412098298677,89.14808933002482
TITLE_TERM,supervision,MULTI,1303,579,63,33.61473522640061,30.04104183109708,89.12752688172043
TITLE_TERM,technology,MULTI,1101,498,40,32.9700272479564,31.988106129917657,89.1133664185277
TITLE_TERM,financial,MULTI,841,408,42,38.763376932223544,26.699029126213592,89.10709677419355
TITLE_TERM,dell,MULTI,18649,1098,29,43.45005094106923,23.819132393157812,89.0935318444996
TITLE_TERM,salesforce,MULTI,173,79,15,41.61849710982659,56.005780346820806,89.07288668320928
TITLE_TERM,implementierung,MULTI,792,294,4,34.217171717171716,55.698232323232325,89.05331679073615
TITLE_TERM,solutions,MULTI,2102,1010,48,28.73453853472883,43.28698224852071,89.05258891645988
TITLE_TERM,desarrollo,MULTI,4170,295,7,33.621103117505996,42.40239808153477,89.05062034739456
TITLE_TERM,overheidsopdracht,MULTI,891,206,2,38.04713804713805,34.8,89.04613730355666
TITLE_TERM,administration,MULTI,1640,794,40,32.31707317073171,31.248062015503876,89.03682382133996
TITLE_TERM,marktconsultatie,MULTI,2434,463,2,34.38783894823336,37.86637362637363,89.01239040529363
TITLE_TERM,module,MULTI,1009,478,29,32.804757185332015,32.0,88.99806451612903
TITLE_TERM,nicht,MULTI,1548,179,6,34.30232558139535,48.85142118863049,88.99622828784119
TITLE_TERM,check,MULTI,352,165,31,36.36363636363637,35.07954545454545,88.99559966914805
TITLE_TERM,campaign,MULTI,316,176,22,49.050632911392405,26.246753246753247,88.98896608767576
TITLE_TERM,premise,MULTI,137,72,24,44.52554744525548,60.425196850393704,88.9631100082713
TITLE_TERM,basic,MULTI,179,85,25,46.36871508379888,34.3905325443787,88.93339950372209
TITLE_TERM,insight,MULTI,138,87,9,48.55072463768116,40.94927536231884,88.90671629445822
TITLE_TERM,dranken,MULTI,323,238,2,37.77089783281734,54.395833333333336,88.89394540942929
