Warehouse_Source,Category,Subcategory,Tender_Count,Unique_Buyers,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,Active_Years,Volume_Pct,Buyer_Breadth_Pct,Recency_Pct,Lean_Pct,Open_World_Score,Discovery_Type
United Kingdom,Other,Ground investigation work,11,11,1,15.0,18.181818181818183,4,8.5,37.666666666666664,42.833333333333336,0.08333333333333334,20.243333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Lift and escalator installation work,11,11,1,15.0,18.181818181818183,4,8.5,37.666666666666664,42.833333333333336,0.08333333333333334,20.243333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Catering services for other enterprises or other institutions,11,11,1,15.0,18.181818181818183,3,8.5,37.666666666666664,42.833333333333336,0.08333333333333334,20.243333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Road construction works,10,7,1,15.0,40.0,4,0.0,18.416666666666668,85.75,0.08333333333333334,20.243333333333332,DATA_NATIVE_COHORT
Ireland,Other,Passenger cars.,10,7,1,15.0,40.0,3,0.0,18.416666666666668,85.75,0.08333333333333334,20.243333333333332,DATA_NATIVE_COHORT
Ireland,Other,Road-maintenance vehicles.,12,7,1,15.0,25.0,3,14.499999999999998,18.416666666666668,59.66666666666667,0.08333333333333334,20.188333333333336,DATA_NATIVE_COHORT
Canada federal,Other,*Commercial marine craft *Salvage ships *Icebreaker *Rescue ships or boats *Water transport vessel maintenance and repair services,11,1,1,15.0,54.54545454545454,3,8.5,0.0,96.08333333333333,0.08333333333333334,20.034999999999997,DATA_NATIVE_COHORT
Ireland,Other,Building surveying services.,13,9,1,15.0,15.384615384615385,3,21.5,26.333333333333332,34.66666666666667,0.08333333333333334,19.986666666666668,DATA_NATIVE_COHORT
United Kingdom,Other,Ultrasound scanners,10,4,1,15.0,80.0,3,0.0,8.166666666666666,98.91666666666666,0.08333333333333334,19.948333333333327,DATA_NATIVE_COHORT
United Kingdom,Other,Installation of doors,10,9,1,15.0,30.0,4,0.0,26.333333333333332,72.08333333333333,0.08333333333333334,19.841666666666665,DATA_NATIVE_COHORT
United Kingdom,Other,District heating,10,9,1,15.0,30.0,4,0.0,26.333333333333332,72.08333333333333,0.08333333333333334,19.841666666666665,DATA_NATIVE_COHORT
United Kingdom,Other,Snow-clearing services,15,11,1,15.0,0.0,3,31.333333333333336,37.666666666666664,0.0,0.08333333333333334,19.84,DATA_NATIVE_COHORT
Canada federal,Other,*Pest control,13,5,1,15.0,23.076923076923077,4,21.5,11.5,55.00000000000001,0.08333333333333334,19.790000000000003,DATA_NATIVE_COHORT
Ireland,Other,Repair and maintenance services of electrical and mechanical building installations.,12,10,1,15.0,16.666666666666664,3,14.499999999999998,31.916666666666664,37.5,0.08333333333333334,19.708333333333332,DATA_NATIVE_COHORT
United Kingdom,Other,Vehicle-fleet-support services,12,10,1,15.0,16.666666666666664,4,14.499999999999998,31.916666666666664,37.5,0.08333333333333334,19.708333333333332,DATA_NATIVE_COHORT
Ireland,Other,Installation services of electrical and mechanical equipment.,12,10,1,15.0,16.666666666666664,3,14.499999999999998,31.916666666666664,37.5,0.08333333333333334,19.708333333333332,DATA_NATIVE_COHORT
Canada federal,Other,*Medical science and research,10,4,1,15.0,60.0,3,0.0,8.166666666666666,97.41666666666666,0.08333333333333334,19.67833333333333,DATA_NATIVE_COHORT
United Kingdom,Other,Letting services of short-stay furnished accommodation,14,12,1,15.0,0.0,3,26.083333333333332,42.833333333333336,0.0,0.08333333333333334,19.503333333333334,DATA_NATIVE_COHORT
United Kingdom,Other,"Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork",14,12,1,15.0,0.0,3,26.083333333333332,42.833333333333336,0.0,0.08333333333333334,19.503333333333334,DATA_NATIVE_COHORT
United Kingdom,Other,"Public security, law and order services",14,12,1,15.0,0.0,3,26.083333333333332,42.833333333333336,0.0,0.08333333333333334,19.503333333333334,DATA_NATIVE_COHORT
Ireland,Other,Catering equipment.,14,12,1,15.0,0.0,2,26.083333333333332,42.833333333333336,0.0,0.08333333333333334,19.503333333333334,DATA_NATIVE_COHORT
United Kingdom,Other,Construction management services,14,12,1,15.0,0.0,2,26.083333333333332,42.833333333333336,0.0,0.08333333333333334,19.503333333333334,DATA_NATIVE_COHORT
Ireland,Other,Refurbishment work.,13,13,1,15.0,0.0,3,21.5,48.083333333333336,0.0,0.08333333333333334,19.401666666666667,DATA_NATIVE_COHORT
Canada federal,Other,*Paper shredding machines or accessories,10,6,1,15.0,40.0,3,0.0,14.583333333333334,85.75,0.08333333333333334,19.246666666666666,DATA_NATIVE_COHORT
Canada federal,Other,*Education and Training Services,11,1,1,15.0,45.45454545454545,4,8.5,0.0,91.41666666666667,0.08333333333333334,19.195,DATA_NATIVE_COHORT
Ireland,Other,Advertising material.,12,6,1,15.0,25.0,3,14.499999999999998,14.583333333333334,59.66666666666667,0.08333333333333334,19.191666666666666,DATA_NATIVE_COHORT
United Kingdom,Other,Surveillance services,12,6,1,15.0,25.0,3,14.499999999999998,14.583333333333334,59.66666666666667,0.08333333333333334,19.191666666666666,DATA_NATIVE_COHORT
Canada federal,Other,*Accommodation furniture *Office furniture,18,6,1,15.0,5.555555555555555,4,42.583333333333336,14.583333333333334,9.416666666666666,0.08333333333333334,19.133333333333333,DATA_NATIVE_COHORT
Canada federal,Other,*Chartered airplane travel *Passenger aircraft rental or leasing service,14,3,1,15.0,21.428571428571427,2,26.083333333333332,5.75,51.24999999999999,0.08333333333333334,19.086666666666662,DATA_NATIVE_COHORT
Canada federal,Other,*Fishery research or experimentation services,10,3,1,15.0,60.0,4,0.0,5.75,97.41666666666666,0.08333333333333334,19.049999999999997,DATA_NATIVE_COHORT
Canada federal,Other,*Electrical components,15,9,1,15.0,6.666666666666667,3,31.333333333333336,26.333333333333332,11.75,0.08333333333333334,19.008333333333333,DATA_NATIVE_COHORT
United Kingdom,Other,Environmental impact assessment other than for construction,14,10,1,15.0,7.142857142857142,4,26.083333333333332,31.916666666666664,12.75,0.08333333333333334,18.959999999999997,DATA_NATIVE_COHORT
United Kingdom,Other,Enteral feeds,14,10,1,15.0,7.142857142857142,3,26.083333333333332,31.916666666666664,12.75,0.08333333333333334,18.959999999999997,DATA_NATIVE_COHORT
Ireland,Other,Administrative services related to tourism affairs.,13,8,1,15.0,15.384615384615385,3,21.5,21.916666666666668,34.66666666666667,0.08333333333333334,18.838333333333335,DATA_NATIVE_COHORT
United Kingdom,Other,Military defence services,21,5,1,15.0,0.0,3,49.333333333333336,11.5,0.0,0.08333333333333334,18.796666666666667,DATA_NATIVE_COHORT
United Kingdom,Other,Minibuses,11,10,1,15.0,18.181818181818183,4,8.5,31.916666666666664,42.833333333333336,0.08333333333333334,18.748333333333335,DATA_NATIVE_COHORT
United Kingdom,Other,Repair and maintenance services of machinery,11,10,1,15.0,18.181818181818183,4,8.5,31.916666666666664,42.833333333333336,0.08333333333333334,18.748333333333335,DATA_NATIVE_COHORT
