Niche,Supplier_ID,Supplier_Name,Supplier_Country,Fractional_Awards,Observed_Awards,Niche_Fractional_Awards,Supplier_Share_Pct,rn
Brand identity / visual identity,sup_028e893bd8bb545f169e,Autoschade Utrecht B.V.,Nederland,1.0,1,187.0,0.5347593582887701,23
Brand identity / visual identity,sup_03371739d2232d4854ad,BALLHAUS WEST Agentur für Kampagnen GmbH,DEU,1.0,1,187.0,0.5347593582887701,24
Brand identity / visual identity,sup_0352b4080b4479042165,Business Innovation Consulting Group SL,ESP,1.0,1,187.0,0.5347593582887701,25
Brochure / flyer / poster printing,sup_e43df4c71dafc6662b93,MEDLIFE,ROU,857.0666666666676,1080,9111.99999999999,9.405911618378715,1
Brochure / flyer / poster printing,sup_b50ff1613a9e13c258a0,MEDA CONSULT,ROU,574.7333333333336,801,9111.99999999999,6.307433421129655,2
Brochure / flyer / poster printing,sup_edd8ad531e311579626b,SANROTEX TRADING SRL,ROU,364.73333333333306,524,9111.99999999999,4.002780216564239,3
Brochure / flyer / poster printing,sup_6779e1dc67fb6996af3a,PAM ALY 2007,ROU,265.7333333333333,369,9111.99999999999,2.9163008486976905,4
Brochure / flyer / poster printing,sup_4342cd68448daa56847d,SECUNET PROJECT SRL,RO,202.25,206,9111.99999999999,2.2196005267778776,5
Brochure / flyer / poster printing,sup_33e84142da5bc79980f3,B.BRAUN MEDICAL,ROU,197.5,198,9111.99999999999,2.167471466198422,6
Brochure / flyer / poster printing,sup_39c13c652627edef498a,EUROPHARM HOLDING,ROU,166.33333333333334,172,9111.99999999999,1.8254316652033968,7
Brochure / flyer / poster printing,sup_380db7628d6138cf47ff,TRANSMEDIC IMPEX,ROU,162.73333333333332,173,9111.99999999999,1.7859233245537036,8
Brochure / flyer / poster printing,sup_7feff0ffff824d2db8a8,OVERALL EESTI AS,EST,135.0,135,9111.99999999999,1.4815627743634783,9
Brochure / flyer / poster printing,sup_25962bbfbc854ec09f97,ALLIANCE HEALTHCARE ROMANIA,RO,117.0,117,9111.99999999999,1.2840210711150144,10
Brochure / flyer / poster printing,sup_ca7f2e8c8e452874f961,Prisum Healthcare,ROU,110.5,111,9111.99999999999,1.2126865671641802,11
Brochure / flyer / poster printing,sup_8fcbe75858b54596af84,S.C. DONA.LOGISTICA S.R.L.,ROU,106.0,107,9111.99999999999,1.1633011413520644,12
Brochure / flyer / poster printing,sup_c514b45564dec7cac722,FARMEXIM S.A.,RO,103.0,103,9111.99999999999,1.130377524143987,13
Brochure / flyer / poster printing,sup_53ab9ec387ae3dd79a1d,MEDIPLUS EXIM,RO,93.0,93,9111.99999999999,1.020632133450396,14
Brochure / flyer / poster printing,sup_017b874d8e9cf13bfbaa,Deutsche Post AG,DEU,88.0,88,9111.99999999999,0.9657594381036007,15
Brochure / flyer / poster printing,sup_235681938bb036151f4c,TORUS PHARMA COMPANY SRL,ROU,86.0,87,9111.99999999999,0.9438103599648824,16
Brochure / flyer / poster printing,sup_403f89d96e8f2557467f,CARBON LIMITS AS,NOR,83.0,83,9111.99999999999,0.9108867427568051,17
Brochure / flyer / poster printing,sup_83b36b6d5cec6a8ccf71,ND PHARMA S.R.L.,ROU,72.25,74,9111.99999999999,0.7929104477611948,18
Brochure / flyer / poster printing,sup_38fa930e6bb74690dc89,DR.MAX,ROU,69.5,70,9111.99999999999,0.7627304653204573,19
Brochure / flyer / poster printing,sup_496a05602f9496ed6b61,FRESENIUS KABI ROMANIA,RO,62.0,62,9111.99999999999,0.680421422300264,20
Brochure / flyer / poster printing,sup_f298967cedbe4a258b4c,PHARMAFARM,RO,57.0,57,9111.99999999999,0.6255487269534685,21
Brochure / flyer / poster printing,sup_795a077d76e410bc27dc,ND PHARMA S.R.L.,ROU,55.25,56,9111.99999999999,0.6063432835820901,22
Brochure / flyer / poster printing,sup_e76d3e598a8eaae51792,FARMACEUTICA REMEDIA DISTRIBUTION & LOGISTICS S.R.L.,RO,55.0,55,9111.99999999999,0.6035996488147504,23
Brochure / flyer / poster printing,sup_64e8f64c436cd4377b87,DONA. LOGISTICA,RO,54.0,54,9111.99999999999,0.5926251097453913,24
Brochure / flyer / poster printing,sup_fba745fb58190a131beb,FELSIN FARM S.R.L.,RO,54.0,54,9111.99999999999,0.5926251097453913,25
CMS development / migration,sup_48d9f70ef29ca5aa868c,Siili Solutions Oyj,FIN,26.333333333333332,27,132.0,19.949494949494948,1
CMS development / migration,sup_b08af754aa04f02e4962,"SISTEMAS AVANZADOS DE TECNOLOGÍA, S.A.",ESP,10.0,10,132.0,7.575757575757576,2
CMS development / migration,sup_f513636818fbf27d448d,Sulava Oy,FIN,6.0,6,132.0,4.545454545454546,3
CMS development / migration,sup_26e7246dcc8003608081,GROUPE TOUMORO INC.,Canada,5.0,5,132.0,3.787878787878788,4
CMS development / migration,sup_44ea09b8d144d639807e,irusrigroup AB,SWE,5.0,5,132.0,3.787878787878788,5
CMS development / migration,sup_1f44b7e33e998fb5dbbb,twoday Oy,FIN,4.333333333333334,5,132.0,3.2828282828282833,6
CMS development / migration,sup_24ee97e2e163cd9fbd79,ICO TECHNOLOGIES INC.,Canada,4.0,4,132.0,3.0303030303030303,7
CMS development / migration,sup_335ef104511e81d2ecff,Cofomo Québec inc.,Canada,4.0,4,132.0,3.0303030303030303,8
CMS development / migration,sup_40500b7fd57056078772,ÉVOLUTION WEB,Canada,3.0,3,132.0,2.272727272727273,9
CMS development / migration,sup_6f79629fe8c07370e0e8,"Algotech, a.s.",CZE,3.0,3,132.0,2.272727272727273,10
